num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
239,国王的演讲,汤姆·霍珀,"['科林·费尔斯', '杰弗里·拉什', '海伦娜·伯翰·卡特', '盖·皮尔斯']",英国 / 澳大利亚 / 美国,英语,8.3,415478,2012-02-24(中国大陆),118分钟,"['剧情', '传记', '历史']",皇上无话儿。
240,千钧一发,安德鲁·尼科尔,"['伊桑·霍克', '乌玛·瑟曼', '裘德·洛', '艾伦·阿金']",美国,英语 / 世界语,8.7,120010,1997-10-24(美国),106分钟,"['剧情', '科幻', '惊悚']",一部能引人思考的科幻励志片。
241,美国丽人,萨姆·门德斯,"['凯文·史派西', '安妮特·贝宁', '索拉·伯奇', '韦斯·本特利']",美国,英语,8.5,226397,1999-09-08(洛杉矶首映),122分钟,"['剧情', '爱情', '家庭']",每个人的内心都是深不可测的大海。
242,疯狂的麦克斯4：狂暴之路,乔治·米勒,"['汤姆·哈迪', '查理兹·塞隆', '尼古拉斯·霍尔特', '休·基斯-拜恩']",澳大利亚 / 美国,英语,8.6,270516,2015-05-14(澳大利亚),120分钟,"['动作', '科幻', '冒险']",
243,遗愿清单,罗伯·莱纳,"['杰克·尼科尔森', '摩根·弗里曼', '西恩·海耶斯', '贝弗利·陶德']",美国,英语,8.6,173816,2007-12-25(多伦多电影节),97 分钟,"['剧情', '喜剧', '冒险']",用剩余不多的时间，去燃烧整个生命。
244,奇迹男孩,斯蒂芬·卓博斯基,"['雅各布·特伦布莱', '朱莉娅·罗伯茨', '伊扎贝拉·维多维奇', '欧文·威尔逊']",美国 / 香港,英语,8.6,287351,2018-01-19(中国大陆),113分钟,"['剧情', '家庭', '儿童']",
245,碧海蓝天,吕克·贝松,"['让-马克·巴尔', '让·雷诺', '罗姗娜·阿奎特', '保罗·希纳尔']",法国 / 美国 / 意大利,法语 / 英语 / 意大利语,8.7,120049,1988-05-11(法国),132分钟(法国),"['剧情', '爱情']",在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
246,荒岛余生,罗伯特·泽米吉斯,"['汤姆·汉克斯', '海伦·亨特', '克里斯·诺斯', '尼克·西塞']",美国,英语 / 俄语,8.5,173450,2000-12-22(美国),143分钟,"['剧情', '冒险']",一个人的独角戏。
247,驴得水,周申,"['任素汐', '大力', '刘帅良', '裴魁山']",中国大陆,汉语普通话,8.3,460647,2016-10-28(中国大陆),111分钟,"['剧情', '喜剧']",过去的如果就让它过去了，未来只会越来越糟！
248,枪火,杜琪峰,"['吴镇宇', '任达华', '黄秋生', '吕颂贤']",香港,粤语,8.7,126242,1999-11-19(香港),84分钟(香港),"['剧情', '动作', '犯罪']",一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
249,英国病人,安东尼·明格拉,"['拉尔夫·费因斯', '朱丽叶·比诺什', '威廉·达福', '克里斯汀·斯科特·托马斯']",美国 / 英国,英语 / 德语 / 意大利语 / 阿拉伯语,8.5,204384,1996-12-06(美国),162分钟,"['剧情', '爱情', '战争']","In memory, love lives forever..."
250,荒野生存,西恩·潘,"['埃米尔·赫斯基', '马西娅·盖伊·哈登', '威廉·赫特', '吉娜·马隆']",美国,英语 / 丹麦语,8.6,155079,2007-09-21(美国),148分钟,"['剧情', '传记', '冒险']",出门必备：本草纲目。
