num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
151,雨人,巴瑞·莱文森,"['达斯汀·霍夫曼', '汤姆·克鲁斯', '瓦莱丽亚·戈利诺', '邦尼·亨特']",美国,英语 / 意大利语,8.7,254601,1988-12-16(美国),133分钟,['剧情'],生活在自己的世界里，也可以让周围的人显得可笑和渺小。
152,纵横四海,吴宇森,"['周润发', '张国荣', '钟楚红', '朱江']",香港,粤语 / 汉语普通话 / 客家话 / 英语 / 法语,8.7,208197,1991-02-02(香港),108分钟,"['剧情', '喜剧', '动作', '犯罪']",香港浪漫主义警匪动作片的巅峰之作。
153,教父3,弗朗西斯·福特·科波拉,"['阿尔·帕西诺', '黛安·基顿', '塔莉娅·夏尔', '安迪·加西亚']",美国,英语 / 意大利语 / 德语 / 拉丁语,8.8,177364,1990-12-25(美国),170分钟,"['剧情', '犯罪']",任何信念的力量，都无法改变命运。
154,达拉斯买家俱乐部,让-马克·瓦雷,"['马修·麦康纳', '詹妮弗·加纳', '杰瑞德·莱托', '史蒂夫·茨恩']",美国,英语 / 日语,8.7,248442,2013-09-07(多伦多电影节),117分钟,"['剧情', '同性', '传记']",Jared Leto的腿比女人还美！
155,玩具总动员3,李·昂克里奇,"['汤姆·汉克斯', '蒂姆·艾伦', '琼·库萨克', '尼德·巴蒂']",美国,英语 / 西班牙语,8.8,249830,2010-06-16(中国大陆),103分钟,"['喜剧', '动画', '奇幻', '冒险']",跨度十五年的欢乐与泪水。
156,卢旺达饭店,特瑞·乔治,"['唐·钱德尔', '苏菲·奥康内多', '杰昆·菲尼克斯', '尼克·诺特']",英国 / 南非 / 意大利 / 美国,英语 / 法语,8.9,153048,2004-12-22(美国),121分钟,"['剧情', '历史', '战争']",当这个世界闭上双眼，他却敞开了怀抱。
157,完美的世界,克林特·伊斯特伍德,"['凯文·科斯特纳', '劳拉·邓恩', '克林特·伊斯特伍德', 'T·J·劳瑟']",美国,英语,9.1,111535,1993-11-24(美国),138分钟,"['剧情', '犯罪']",坏人的好总是比好人的好来得更感人。
158,花样年华,王家卫,"['梁朝伟', '张曼玉', '潘迪华', '萧炳林']",香港,粤语 / 上海话 / 法语,8.6,316742,2000-05-20(戛纳电影节),98 分钟,"['剧情', '爱情']",偷情本没有这样美。
159,海边的曼彻斯特,肯尼思·洛纳根,"['卡西·阿弗莱克', '卢卡斯·赫奇斯', '米歇尔·威廉姆斯', 'C·J·威尔逊']",美国,英语,8.6,276330,2017-08-25(中国大陆),137分钟,"['剧情', '家庭']",我们都有权利不与自己的过去和解。
160,海洋,雅克·贝汉,"['皮尔斯·布鲁斯南', '雅克·贝汉', '姜文', '宫泽理惠']",法国 / 瑞士 / 西班牙 / 美国 / 阿联酋,法语 / 英语,9.0,112857,2011-08-12(中国大陆),104分钟(法国),['纪录片'],大海啊，不全是水。
161,恋恋笔记本,尼克·卡萨维茨,"['瑞恩·高斯林', '瑞秋·麦克亚当斯', '吉娜·罗兰兹', '詹姆斯·加纳']",美国,英语,8.5,363205,2004-06-25(美国),123分钟,"['剧情', '爱情']",爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
162,虎口脱险,热拉尔·乌里,"['路易·德·菲奈斯', '布尔维尔', '克劳迪奥·布鲁克', '安德丽·帕里西']",法国 / 英国,法语 / 英语 / 德语,8.9,132786,1966-12-08(法国),132分钟,"['喜剧', '战争']",永远看不腻的喜剧。
163,你看起来好像很好吃,藤森雅也,"['山口胜平', '爱河里花子', '加藤清史郎', '原田知世']",日本,日语,8.8,189880,2010-10-16(日本),90分钟,"['剧情', '动画', '儿童']",感情不分食草或者食肉。
164,二十二,郭柯,,中国大陆,汉语普通话,8.7,154206,2017-08-14(中国大陆),99分钟(公映版),['纪录片'],有一些东西不应该被遗忘。
165,被解救的姜戈,昆汀·塔伦蒂诺,"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹', '塞缪尔·杰克逊']",美国,英语 / 法语 / 德语,8.6,333125,2013-05-12(中国大陆),163分钟(中国大陆),"['剧情', '动作', '西部', '冒险']",热血沸腾，那个低俗、性感的无耻混蛋又来了。
166,头脑特工队,彼特·道格特,"['艾米·波勒', '菲利丝·史密斯', '理查德·坎德', '比尔·哈德尔']",美国,英语,8.7,315220,2015-10-06(中国大陆),95分钟,"['喜剧', '动画', '冒险']",愿我们都不用长大，每一座城堡都能永远存在。
167,无敌破坏王,瑞奇·摩尔,"['约翰·C·赖利', '萨拉·西尔弗曼', '杰克·麦克布瑞尔', '简·林奇']",美国,英语,8.7,283040,2012-11-06(中国大陆),101分钟,"['喜剧', '动画', '奇幻', '冒险']",迪士尼和皮克斯拿错剧本的产物。
168,冰川时代,卡洛斯·沙尔丹哈,"['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞', '杰克·布莱克']",美国,英语 / 克罗地亚语,8.5,354857,2002-03-15(美国),81 分钟,"['喜剧', '动画', '冒险']",松鼠才是角儿。
169,燃情岁月,爱德华·兹威克,"['布拉德·皮特', '安东尼·霍普金斯', '艾丹·奎因', '朱莉娅·奥蒙德']",美国,英语 / 科尼什语,8.8,176477,1994-12-16(美国),133分钟,"['剧情', '爱情', '战争', '西部']",传奇，不是每个人都可以拥有。
170,你的名字。,新海诚,"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子']",日本,日语,8.4,687061,2016-12-02(中国大陆),106分钟,"['剧情', '爱情', '动画']",穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
171,雨中曲,斯坦利·多南,"['吉恩·凯利', '唐纳德·奥康纳', '黛比·雷诺斯', '简·哈根']",美国,英语,9.0,117366,1952-04-11(美国),103分钟,"['喜剧', '爱情', '歌舞']",骨灰级歌舞片。
172,我是山姆,杰茜·尼尔森,"['西恩·潘', '达科塔·范宁', '米歇尔·菲佛', '黛安·韦斯特']",美国,英语,8.9,140087,2001-12-03(美国),132 分钟,"['剧情', '家庭']",爱并不需要智商 。
